Place,StateCode,County
tyonek,ak,kenai_peninsula_borough
ugashik,ak,lake_and_peninsula_borough
unalakleet,ak,nome_census_area
unalaska,ak,aleutians_west_census_area
upper_kalskag,ak,bethel_census_area
valdez,ak,valdez-cordova_census_area
venetie,ak,yukon-koyukuk_census_area
wainwright,ak,north_slope_borough
wales,ak,nome_census_area
wasilla,ak,matanuska-susitna_borough
whale_pass,ak,prince_of_wales-hyder_census_area
white_mountain,ak,nome_census_area
whitestone,ak,southeast_fairbanks_census_area
whitestone_logging_camp,ak,hoonah-angoon_census_area
whittier,ak,valdez-cordova_census_area
willow,ak,matanuska-susitna_borough
willow_creek,ak,valdez-cordova_census_area
womens_bay,ak,kodiak_island_borough
wrangell,ak,wrangell_city_and_borough
yakutat,ak,yakutat_city_and_borough
aguila,az,maricopa
ajo,az,pima
ak_chin,az,pima
ak-chin_village,az,pinal
alamo_lake,az,la_paz
ali_chuk,az,pima
ali_chukson,az,pima
ali_molina,az,pima
alpine,az,apache
amado,az,santa_cruz
anegam,az,pima
antares,az,mohave
anthem,az,maricopa
apache_junction,az,pinal
arivaca,az,pima
arivaca_junction,az,pima
arizona_city,az,pinal
arizona_village,az,mohave
arlington,az,maricopa
ash_fork,az,yavapai
avenue_b_and_c,az,yuma
avondale,az,maricopa
avra_valley,az,pima
aztec,az,yuma
bagdad,az,yavapai
bear_flat,az,gila
beaver_dam,az,mohave
beaver_valley,az,gila
benson,az,cochise
beyerville,az,santa_cruz
bisbee,az,cochise
bitter_springs,az,coconino
black_canyon_city,az,yavapai
blackwater,az,pinal
bluewater,az,la_paz
bouse,az,la_paz
bowie,az,cochise
brenda,az,la_paz
bryce,az,graham
buckeye,az,maricopa
bullhead_city,az,mohave
burnside,az,apache
bylas,az,graham
cactus_flats,az,graham
cactus_forest,az,pinal
cameron,az,coconino
camp_verde,az,yavapai
campo_bonito,az,pinal
cane_beds,az,mohave
canyon_day,az,gila
carefree,az,maricopa
carrizo,az,gila
casa_blanca,az,pinal
casa_grande,az,pinal
casas_adobes,az,pima
catalina,az,pima
catalina_foothills,az,pima
cave_creek,az,maricopa
cedar_creek,az,gila
centennial_park,az,mohave
central,az,graham
central_heights-midland_city,az,gila
chandler,az,maricopa
charco,az,pima
chiawuli_tak,az,pima
chilchinbito,az,navajo
chinle,az,apache
chino_valley,az,yavapai
chloride,az,mohave
christopher_creek,az,gila
chuichu,az,pinal
cibecue,az,navajo
cibola,az,la_paz
cienega_springs,az,la_paz
citrus_park,az,maricopa
clacks_canyon,az,mohave
clarkdale,az,yavapai
clay_springs,az,navajo
claypool,az,gila
clifton,az,greenlee
colorado_city,az,mohave
concho,az,apache
congress,az,yavapai
coolidge,az,pinal
